size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,232058.827586,5704.467443,233274,58318.512099,231753.310345,2682.634139,232900,58225.184988
8000,8K,225448.551724,7383.78667,225736,56434.237717,225189.517241,3172.917799,225461,56365.375642
16000,16K,246034.482759,7480.914373,246224,61556.029598,245677.793103,2602.633321,245834,61458.636091
32000,32K,248811.965517,8576.062572,248431,62107.859476,248470.034483,2302.789784,248022,62005.532964
64000,64K,216969.655172,11205.983352,217320,54330.044664,216602.758621,2484.153899,217047,54261.84921
128000,128K,216761.103448,11901.701954,216929,54232.317845,216396.413793,2470.639315,216678,54169.588694
256000,256K,205097.931034,12991.382396,203060,50765.14899,204733.793103,2519.266539,202681,50670.35531
512000,512K,199089.931034,13361.057709,199003,49750.816612,198870.068966,2532.477917,198657,49664.489034
1000000,1M,221979.034483,11604.273628,221939,55484.967669,221640.0,2460.072339,221660,55415.238984
2000000,2M,195030.62069,13274.226053,195467,48866.942204,194712.0,2688.840625,195205,48801.413239
