size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,239904.275862,5692.350023,239445,59861.475902,239550.896552,2440.267491,239101,59775.481635
8000,8K,236532.413793,7080.69809,236695,59173.788414,236206.344828,3055.442102,236364,59091.127258
16000,16K,272465.793103,6679.904057,273163,68290.980601,272127.0,2296.44732,272776,68194.120392
32000,32K,274496.0,7749.212298,273144,68286.047597,274150.068966,2135.006595,272758,68189.720685
64000,64K,226960.827586,10968.224757,226588,56647.023532,226690.758621,2275.201009,226267,56566.828878
128000,128K,243672.275862,10664.360494,243297,60824.278381,243304.275862,2106.285471,242890,60722.685154
256000,256K,258971.586207,9970.126691,257758,64439.570695,258607.448276,2106.8141,257424,64356.176255
512000,512K,257222.068966,10078.392251,256539,64134.924338,256817.931034,2097.078317,256200,64050.196654
1000000,1M,259530.482759,10057.701842,258891,64722.885141,259178.482759,2080.163726,258603,64650.956603
2000000,2M,265369.931034,9454.239976,268154,67038.730751,265015.724138,2097.502194,267795,66948.870075
4000000,4M,276584.827586,8993.971242,275458,68864.542364,276216.827586,2084.720908,275074,68768.615426
8000000,8M,244561.0,10370.208807,247012,61753.04939,244198.62069,2190.852039,246593,61648.470306
16000000,16M,231779.034483,10830.758395,230657,57664.289047,231492.689655,2474.178731,230330,57582.627825
