size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,83023.864407,8025.068645,82929,20732.295798,82944.864407,16774.425141,82847,20711.767254
8000,8K,91867.118644,12169.23277,91843,22960.802613,91745.661017,9040.315197,91730,22932.571162
16000,16K,116051.932203,12023.318047,115775,28943.750208,115891.118644,7017.079725,115606,28901.662834
32000,32K,140373.559322,11729.162619,140131,35032.814738,140177.355932,7065.452513,139982,34995.702435
64000,64K,150123.525424,11462.480862,149656,37414.022927,150060.338983,6891.958081,149581,37395.46121
128000,128K,154634.813559,13065.825017,153232,38308.19956,154581.966102,6384.388729,153160,38290.215147
256000,256K,142154.440678,15359.110521,141882,35470.639205,141979.79661,6395.794146,141763,35440.811838
512000,512K,135818.779661,16780.530691,135287,33821.926025,135654.440678,6277.323003,135084,33771.209597
1000000,1M,130944.661017,17837.864647,130373,32593.289798,130766.949153,6408.294457,130231,32557.872993
2000000,2M,132971.525424,17278.688878,132282,33070.626271,132810.711864,6777.937236,132112,33028.23051
4000000,4M,120205.457627,20259.883356,120190,30047.658724,120022.677966,6437.160358,120020,30005.09915
8000000,8M,122269.932203,20944.446248,121980,30495.104243,122095.322034,5716.993882,121788,30447.24572
16000000,16M,123889.491525,21463.748631,123681,30920.411767,123679.915254,5548.804789,123491,30872.772096
32000000,32M,114688.847458,22897.252257,114255,28563.802864,114541.847458,6283.836439,114096,28524.009324
64000000,64M,106037.559322,24758.347324,105677,26419.391356,105848.745763,7589.669439,105509,26377.339016
128000000,128M,92765.830508,23711.088782,92215,23053.840274,92649.898305,14454.727229,92097,23024.294593
256000000,256M,80461.983051,25162.899456,80262,20065.667475,80376.423729,19834.739373,80167,20041.872985
512000000,512M,76463.40678,28307.7314,74516,18629.011762,76347.677966,21404.286458,74399,18599.98045
