size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,196522.435726,6764.882207,196429,49107.409642,196468.806344,3200.770604,196375,49093.946354
8000,8K,217517.767947,7435.292934,217417,54354.432152,217433.035058,3674.281461,217333,54333.475555
16000,16K,245043.828047,7414.752477,244934,61233.545888,244985.108514,3131.844756,244877,61219.315936
32000,32K,247600.956594,8271.356803,247518,61879.657068,247541.779633,2938.55679,247459,61864.903784
64000,64K,221280.193656,10598.372141,221183,55295.812347,221184.888147,3081.78113,221083,55270.829097
128000,128K,208248.477462,12070.238144,208175,52043.893187,208171.278798,3184.065468,208098,52024.516585
256000,256K,208081.282137,12492.109493,208023,52005.973313,208005.130217,3156.021242,207947,51986.766711
512000,512K,215404.570952,12106.849938,215333,53833.423889,215339.504174,3114.090976,215265,53816.363945
1000000,1M,203998.497496,12779.374779,203929,50982.366725,203941.689482,3277.965436,203864,50966.186779
2000000,2M,193975.470785,13149.929002,193893,48473.398422,193915.647746,3498.777064,193832,48458.121806
4000000,4M,195972.54424,12915.020014,195868,48967.026886,195911.559265,3491.822733,195812,48953.193645
8000000,8M,193291.540902,13018.536136,193185,48296.318025,193236.300501,3488.121521,193132,48283.091446
16000000,16M,185358.958264,13619.212167,185248,46312.217919,185308.983306,3538.816645,185200,46300.048
32000000,32M,175377.585977,14505.594363,175338,43834.697741,175287.474124,3652.733495,175252,43813.118317
64000000,64M,168779.001669,15109.825282,168689,42172.472758,168694.517529,3709.6188,168605,42151.456162
128000000,128M,172313.228715,14861.430949,172216,43054.248373,172230.931553,3674.891934,172132,43033.065675
256000000,256M,176653.317195,14422.072244,176529,44132.410336,176570.794658,3581.936493,176447,44111.856204
512000000,512M,199198.804674,13322.553054,199129,49782.316167,199151.27212,3364.727479,199080,49770.082844
