size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,211083.862069,6576.115242,209975,52493.767082,210706.758621,2679.290528,209646,52411.572562
8000,8K,224221.965517,7527.16213,224252,56063.129125,223969.034483,3185.17297,223961,55990.267316
16000,16K,236080.0,7815.466438,236224,59056.062929,235757.517241,2707.960725,235871,58967.868809
32000,32K,263377.655172,8121.167282,263094,65773.54843,263051.034483,2123.967426,262771,65692.953803
64000,64K,231628.965517,10904.754973,231440,57860.209319,231341.517241,2148.407477,231095,57773.815079
128000,128K,238595.310345,10903.743715,238381,59595.293647,238252.689655,2130.456976,238035,59508.832744
256000,256K,245220.689655,10839.411145,244815,61203.853076,244869.241379,2066.087785,244436,61109.19272
512000,512K,235015.172414,11351.818335,234943,58735.817612,234721.655172,2131.787533,234578,58644.690354
1000000,1M,243943.172414,10853.624387,243971,60992.867142,243563.310345,2115.730548,243572,60893.073795
2000000,2M,244238.344828,10709.58975,243536,60884.074395,243861.517241,2171.051844,243132,60783.14779
4000000,4M,230935.448276,11282.275244,230793,57698.353443,230641.37931,2249.688565,230446,57611.692554
8000000,8M,228737.931034,11341.466733,228430,57107.592827,228443.310345,2286.169848,228106,57026.731551
16000000,16M,223312.275862,11740.000969,221832,55458.108378,223020.965517,2401.182433,221539,55384.856362
