size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,199536.275862,7034.279485,200118,50029.731351,199302.068966,2649.65079,199715,49928.804746
8000,8K,209160.275862,7996.889078,209773,52443.370442,208767.448276,3409.107954,209426,52356.64289
16000,16K,247191.172414,7518.375059,246351,61587.827478,246833.655172,2607.404199,245947,61486.834211
32000,32K,238705.103448,8907.887617,238653,59663.355776,238358.344828,2412.868212,238315,59578.761416
64000,64K,219864.0,11299.996147,219329,54832.277848,219520.0,2362.577814,219070,54767.682155
128000,128K,214189.241379,12187.075746,214266,53566.695554,213802.482759,2330.726606,213924,53481.10126
256000,256K,222571.310345,11865.815167,222273,55568.495434,222267.034483,2347.236988,221999,55499.766682
512000,512K,227883.586207,11569.007951,227621,56905.339644,227584.551724,2300.210282,227337,56834.277715
1000000,1M,218288.0,12037.056141,218436,54609.026065,217954.206897,2399.963814,218162,54540.630625
2000000,2M,209446.896552,12617.641039,209243,52310.845944,209063.172414,2435.157283,208887,52221.985201
4000000,4M,209297.655172,12330.881116,209233,52308.446104,208914.758621,2510.70001,208880,52220.118659
8000000,8M,198211.310345,13189.627931,196899,49224.888356,197969.37931,2681.421487,196576,49144.237819
16000000,16M,186076.137931,14152.78785,186745,46686.483604,185875.034483,2805.130632,186427,46606.904825
