size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,183724.689655,7667.13724,184015,46003.866409,183544.827586,2739.851265,183790,45947.536831
8000,8K,209032.586207,8056.545328,209020,52255.182988,208628.0,3397.697766,208670,52167.65549
16000,16K,242937.931034,7630.798786,241757,60439.370709,242551.172414,2635.316801,241422,60355.709619
32000,32K,256307.862069,8394.979981,255448,63862.075862,255913.103448,2230.094961,255140,63785.014332
64000,64K,221180.413793,11401.790781,219280,54820.011999,220818.758621,2356.107176,219024,54756.082928
128000,128K,208565.793103,12221.797899,208559,52139.990667,208166.62069,2579.794497,208188,52047.063529
256000,256K,209606.068966,12412.076218,209259,52314.845677,209224.0,2545.487007,208901,52225.384974
512000,512K,191473.103448,13833.613124,191105,47776.281581,191214.62069,2703.165105,190862,47715.552297
1000000,1M,183883.310345,14338.227605,182752,45688.154123,183698.758621,2881.845898,182527,45631.957869
2000000,2M,209594.758621,12447.472102,209740,52435.170989,209211.862069,2508.39001,209388,52347.243517
