size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,82760.728814,9244.48037,82713,20678.308395,82676.762712,15293.836835,82620,20655.01383
8000,8K,96265.355932,11680.481172,96061,24015.493286,96125.694915,8424.499317,95952,23988.071836
16000,16K,116887.59322,11904.546359,116754,29188.514482,116730.694915,7084.938623,116564,29141.152551
32000,32K,128062.20339,12736.748172,127895,31973.942019,127898.305085,7222.505399,127737,31934.421859
64000,64K,148571.525424,11652.347578,148357,37089.264294,148512.813559,7068.170435,148290,37072.570972
128000,128K,153403.932203,12988.368462,152750,38187.643707,153352.813559,6627.915003,152682,38170.715452
256000,256K,149705.084746,14937.197134,149208,37302.049658,149649.898305,5900.108663,149119,37279.920013
512000,512K,141544.355932,16158.662914,141378,35344.508131,141376.79661,6036.240909,141240,35310.183951
1000000,1M,139705.762712,16760.043999,139734,34933.67092,139516.338983,5798.445276,139568,34892.09448
2000000,2M,146533.152542,15711.028189,146578,36644.620664,146434.983051,6117.575112,146526,36631.526339
4000000,4M,117522.169492,20983.715878,116731,29182.820778,117347.932203,6679.854826,116542,29135.70786
8000000,8M,123755.254237,20721.096124,123519,30879.817461,123546.711864,5649.445298,123319,30829.919057
16000000,16M,126773.559322,21159.626899,126446,31611.710631,126589.288136,5552.774508,126290,31572.741807
32000000,32M,117382.169492,22624.346668,117094,29273.608151,117203.813559,6170.77877,116905,29226.458444
64000000,64M,112163.118644,23372.694402,111797,27949.329161,112006.644068,7108.718387,111657,27914.372274
128000000,128M,95006.220339,22938.600043,94866,23716.510076,94844.779661,14155.771253,94727,23681.94947
256000000,256M,86238.135593,23319.417575,85507,21376.926142,86190.372881,18947.547514,85455,21363.908077
512000000,512M,75599.118644,28672.788144,73729,18432.422729,75505.508475,21695.720894,73617,18404.32129
