size,size_verbose,r_bw_mean,r_lat_mean,r_bw,r_iops,w_bw_mean,w_lat_mean,w_bw,w_iops
4000,4K,196908.828047,7178.466959,196851,49212.769291,196856.439065,3028.696713,196795,49198.819337
8000,8K,218089.75793,7631.210281,218043,54510.964963,218002.898164,3644.992311,217954,54488.695038
16000,16K,271992.854758,6642.25636,271915,67978.996737,271938.213689,2837.231294,271862,67965.690114
32000,32K,273184.984975,7435.637051,273090,68272.535758,273134.083472,2625.621503,273041,68260.369132
64000,64K,227369.036728,10478.74778,227284,56821.13393,227301.585977,2904.967739,227220,56805.05065
128000,128K,226649.262104,11197.156675,226553,56638.287872,226578.36227,2879.908568,226486,56621.604595
256000,256K,218083.160267,11938.148407,217950,54487.735041,217996.422371,3000.526373,217861,54465.475115
512000,512K,220616.549249,11893.497219,220525,55131.389562,220530.213689,2929.521006,220434,55108.726304
1000000,1M,206543.373957,12426.759594,206464,51616.127946,206466.430718,3365.694551,206389,51597.304676
2000000,2M,217214.015025,11947.938574,217088,54272.072426,217133.831386,3128.707186,217004,54251.009163
4000000,4M,208676.196995,12220.46654,208600,52150.176166,208599.285476,3194.333639,208515,52128.976237
8000000,8M,199803.589316,12562.78517,199629,49907.310927,199751.93823,3353.115663,199578,49894.527721
16000000,16M,207334.480801,12203.993562,207259,51814.779136,207259.784641,3146.950976,207182,51795.702724
32000000,32M,200475.9399,12718.650087,200337,50084.364136,200423.732888,3170.139258,200288,50072.12117
64000000,64M,192526.540902,13385.161511,192449,48112.374756,192472.994992,3209.669317,192392,48098.065424
128000000,128M,194718.420701,13081.665122,194608,48652.017265,194661.479132,3230.458654,194550,48637.735598
256000000,256M,185626.470785,13752.116728,185494,46373.651058,185578.951586,3346.928883,185447,46361.846359
512000000,512M,210708.81803,12320.048312,210627,52656.934769,210621.240401,3396.582525,210536,52634.065531
