nsec, read_slat_ns_count, read_slat_ns_cumulative, read_slat_ns_percentile, read_clat_ns_count, read_clat_ns_cumulative, read_clat_ns_percentile, read_lat_ns_count, read_lat_ns_cumulative, read_lat_ns_percentile, write_slat_ns_count, write_slat_ns_cumulative, write_slat_ns_percentile, write_clat_ns_count, write_clat_ns_cumulative, write_clat_ns_percentile, write_lat_ns_count, write_lat_ns_cumulative, write_lat_ns_percentile, trim_slat_ns_count, trim_slat_ns_cumulative, trim_slat_ns_percentile, trim_clat_ns_count, trim_clat_ns_cumulative, trim_clat_ns_percentile, trim_lat_ns_count, trim_lat_ns_cumulative, trim_lat_ns_percentile, 
1976, , , , , , , , , , , , , 1, 1, 1.436727938324143e-06, , , , , , , , , , , , , 
1992, , , , , , , , , , , , , 1, 2, 2.873455876648286e-06, , , , , , , , , , , , , 
2008, , , , , , , , , , , , , 3, 5, 7.183639691620715e-06, , , , , , , , , , , , , 
2024, , , , , , , , , , , , , 3, 8, 1.1493823506593144e-05, 1, 1, 1.436727938324143e-06, , , , , , , , , , 
2040, , , , , , , , , , , , , 18, 26, 3.735492639642772e-05, 1, 2, 2.873455876648286e-06, , , , , , , , , , 
2064, , , , , , , , , , , , , 215, 241, 0.0003462514331361185, 6, 8, 1.1493823506593144e-05, , , , , , , , , , 
2096, , , , , , , , , , , , , 1696, 1937, 0.002782942016533865, 87, 95, 0.00013648915414079358, , , , , , , , , , 
2128, , , , , , , , , , , , , 8958, 10895, 0.015653150888041537, 488, 583, 0.0008376123880429754, , , , , , , , , , 
2160, , , , , , , , , , , , , 18935, 29830, 0.04285759440020919, 3998, 4581, 0.0065816506854629, , , , , , , , , , 
2192, , , , , , , , , , , , , 30428, 60258, 0.08657435210753621, 13383, 17964, 0.025809380684054906, , , , , , , , , , 
2224, , , , , , , , , , , , , 35559, 95817, 0.13766296086640442, 23711, 41675, 0.059875636829658664, , , , , , , , , , 
2256, , , , , , , , , , , , , 30194, 126011, 0.1810435242361636, 34447, 76122, 0.10936660412111042, , , , , , , , , , 
2288, , , , , , , , , , , , , 20968, 146979, 0.21116883564694422, 33839, 109961, 0.1579840408260611, , , , , , , , , , 
2320, , , , , , , , , , , , , 13278, 160257, 0.2302457092120122, 26115, 136076, 0.1955041909353961, , , , , , , , , , 
2352, , , , , , , , , , , , , 8980, 169237, 0.243147526098163, 17300, 153376, 0.22035958426840377, , , , , , , , , , 
2384, , , , , , , , , , , , , 6182, 175419, 0.25202937821288285, 11131, 164507, 0.2363518029498898, , , , , , , , , , 
2416, , , , , , , , , , , , , 4675, 180094, 0.25874608132454824, 7605, 172112, 0.24727811892084492, , , , , , , , , , 
2448, , , , , , , , , , , , , 3650, 183744, 0.26399013829943135, 5422, 177534, 0.2550680578024384, , , , , , , , , , 
2480, , , , , , , , , , , , , 3025, 186769, 0.26833624031286185, 4217, 181751, 0.2611267395183513, , , , , , , , , , 
2512, , , , , , , , , , , , , 3013, 189782, 0.2726651015910325, 3208, 184959, 0.2657357627444952, , , , , , , , , , 
2544, , , , , , , , , , , , , 3646, 193428, 0.2779034116541623, 2831, 187790, 0.2698031395378908, , , , , , , , , , 
2576, , , , , , , , , , , , , 4771, 198199, 0.28475804064790683, 2853, 190643, 0.2739021243459296, , , , , , , , , , 
2608, , , , , , , , , , , , , 5487, 203686, 0.2926413668454914, 3479, 194122, 0.2789005008433593, , , , , , , , , , 
2640, , , , , , , , , , , , , 6209, 209895, 0.301562010614546, 4547, 198669, 0.28543330277891915, , , , , , , , , , 
2672, , , , , , , , , , , , , 5882, 215777, 0.3100128443477686, 5422, 204091, 0.29322324166051267, , , , , , , , , , 
2704, , , , , , , , , , , , , 5383, 221160, 0.3177467508397675, 6102, 210193, 0.3019901555401666, , , , , , , , , , 
2736, , , , , , , , , , , , , 5512, 226672, 0.32566599523581014, 5902, 216095, 0.3104697238321557, , , , , , , , , , 
2768, , , , , , , , , , , , , 6920, 233592, 0.3356081525690132, 5530, 221625, 0.3184148293310882, , , , , , , , , , 
2800, , , , , , , , , , , , , 9553, 243145, 0.34933321456382377, 5967, 227592, 0.3269877849390684, , , , , , , , , , 
2832, , , , , , , , , , , , , 13283, 256428, 0.36841727176858335, 7273, 234865, 0.3374371072344999, , , , , , , , , , 
2864, , , , , , , , , , , , , 17396, 273824, 0.39341059098367015, 9617, 244482, 0.35125411981736315, , , , , , , , , , 
2896, , , , , , , , , , , , , 21220, 295044, 0.42389795783490847, 13147, 257629, 0.37014278202251066, , , , , , , , , , 
2928, , , , , , , , , , , , , 22495, 317539, 0.4562171528075101, 16876, 274505, 0.39438900270966887, , , , , , , , , , 
2960, , , , , , , , , , , , , 21200, 338739, 0.4866757850999819, 20208, 294713, 0.4234224008873232, , , , , , , , , , 
2992, , , , , , , , , , , , , 17958, 356697, 0.5124765454164069, 21916, 316629, 0.4549097303836351, , , , , , , , , , 
3024, , , , , , , , , , , , , 14028, 370725, 0.5326309649352179, 21016, 337645, 0.4851040047354553, , , , , , , , , , 
3056, , , , , , , , , , , , , 11222, 381947, 0.5487539258590914, 18278, 355923, 0.511364517992144, , , , , , , , , , 
3088, , , , , , , , , , , , , 8835, 390782, 0.5614474171941852, 14232, 370155, 0.5318120300103731, , , , , , , , , , 
3120, , , , , , , , , , , , , 7735, 398517, 0.5725605077971225, 11424, 381579, 0.5482252099777882, , , , , , , , , , 
3152, , , , , , , , , , , , , 6905, 405422, 0.5824811142112507, 9198, 390777, 0.5614402335544937, , , , , , , , , , 
3184, , , , , , , , , , , , , 6196, 411618, 0.5913830805171071, 7874, 398651, 0.5727530293408579, , , , , , , , , , 
3216, , , , , , , , , , , , , 5780, 417398, 0.5996873680006206, 6893, 405544, 0.5826563950197263, , , , , , , , , , 
3248, , , , , , , , , , , , , 5180, 422578, 0.6071296187211397, 6027, 411571, 0.5913155543040058, , , , , , , , , , 
3280, , , , , , , , , , , , , 4658, 427236, 0.6138218974578535, 5473, 417044, 0.599178766310454, , , , , , , , , , 
3312, , , , , , , , , , , , , 4400, 431636, 0.6201435003864798, 5055, 422099, 0.6064414260386825, , , , , , , , , , 
3344, , , , , , , , , , , , , 4223, 435859, 0.6262108024700227, 4418, 426517, 0.6127888900701985, , , , , , , , , , 
3376, , , , , , , , , , , , , 4385, 440244, 0.632510854479574, 4274, 430791, 0.6189294652785959, , , , , , , , , , 
3408, , , , , , , , , , , , , 5015, 445259, 0.6397160450902696, 4018, 434809, 0.6247022381347823, , , , , , , , , , 
3440, , , , , , , , , , , , , 5983, 451242, 0.6483119883452629, 4007, 438816, 0.6304592069836472, , , , , , , , , , 
3472, , , , , , , , , , , , , 7043, 458285, 0.6584308632148799, 4498, 443314, 0.6369216092502291, , , , , , , , , , 
3504, , , , , , , , , , , , , 7801, 466086, 0.6696387778617465, 5365, 448679, 0.6446296546393382, , , , , , , , , , 
3536, , , , , , , , , , , , , 8234, 474320, 0.6814687957059076, 6344, 455023, 0.6537442566800665, , , , , , , , , , 
3568, , , , , , , , , , , , , 8038, 482358, 0.693017214874157, 7271, 462294, 0.6641907055196213, , , , , , , , , , 
3600, , , , , , , , , , , , , 7430, 489788, 0.7036921034559054, 7853, 470147, 0.6754733300192809, , , , , , , , , , 
3632, , , , , , , , , , , , , 6703, 496491, 0.7133224908264921, 7919, 478066, 0.6868507785628698, , , , , , , , , , 
3664, , , , , , , , , , , , , 5860, 502351, 0.7217417165450716, 7513, 485579, 0.6976449155634991, , , , , , , , , , 
3696, , , , , , , , , , , , , 5281, 507632, 0.7293290767873614, 7066, 492645, 0.7077968351756975, , , , , , , , , , 
3728, , , , , , , , , , , , , 4750, 512382, 0.736153534494401, 6154, 498799, 0.7166384589081443, , , , , , , , , , 
3760, , , , , , , , , , , , , 4444, 516826, 0.7425383534523136, 5527, 504326, 0.7245792542232617, , , , , , , , , , 
3792, , , , , , , , , , , , , 4335, 521161, 0.7487665690649488, 5054, 509380, 0.7318404772235519, , , , , , , , , , 
3824, , , , , , , , , , , , , 4267, 525428, 0.7548970871777778, 4692, 514072, 0.7385816047101689, , , , , , , , , , 
3856, , , , , , , , , , , , , 4163, 529591, 0.7608781855850213, 4574, 518646, 0.7451531983000635, , , , , , , , , , 
3888, , , , , , , , , , , , , 3681, 533272, 0.7661667811259925, 4344, 522990, 0.7513943444641435, , , , , , , , , , 
3920, , , , , , , , , , , , , 3474, 536746, 0.7711579739837305, 4167, 527157, 0.7573811897831403, , , , , , , , , , 
3952, , , , , , , , , , , , , 2936, 539682, 0.7753762072106501, 3947, 531104, 0.7630519549557057, , , , , , , , , , 
3984, , , , , , , , , , , , , 2790, 542472, 0.7793846781585745, 3435, 534539, 0.7679871154238491, , , , , , , , , , 
4016, , , , , , , , , , , , , 2497, 544969, 0.7829721878205699, 3167, 537706, 0.7725372328045217, , , , , , , , , , 
4048, , , , , , , , , , , , , 2383, 547352, 0.7863959104975964, 2770, 540476, 0.7765169691936795, , , , , , , , , , 
4080, , , , , , , , , , , , , 2190, 549542, 0.7895423446825263, 2635, 543111, 0.7803027473111637, , , , , , , , , , 
4128, , , , , , , , , , , , , 4113, 553655, 0.7954516066928534, 4575, 547686, 0.7868757776289966, , , , , , , , , , 
4192, , , , , , , , , , , , , 3816, 557471, 0.8009341605054984, 4163, 551849, 0.79285687603624, , , , , , , , , , 
4256, , , , , , , , , , , , , 3450, 560921, 0.8058908718927167, 3802, 555651, 0.7983193156577484, , , , , , , , , , 
4320, , , , , , , , , , , , , 3440, 564361, 0.8108332160005517, 3496, 559147, 0.8033421165301297, , , , , , , , , , 
4384, , , , , , , , , , , , , 3591, 567952, 0.8159925060270737, 3328, 562475, 0.8081235471088724, , , , , , , , , , 
4448, , , , , , , , , , , , , 3870, 571822, 0.8215526431483882, 3453, 565928, 0.8130845686799056, , , , , , , , , , 
4512, , , , , , , , , , , , , 4162, 575984, 0.8275323048276932, 3636, 569564, 0.8183085114636522, , , , , , , , , , 
4576, , , , , , , , , , , , , 4257, 580241, 0.8336484556611391, 3829, 573393, 0.8238097427394954, , , , , , , , , , 
4640, , , , , , , , , , , , , 4260, 584501, 0.8397689166783999, 3883, 577276, 0.829388557324008, , , , , , , , , , 
4704, , , , , , , , , , , , , 4099, 588600, 0.8456580644975906, 3932, 581208, 0.8350377715774986, , , , , , , , , , 
4768, , , , , , , , , , , , , 4066, 592666, 0.8514998002948165, 4046, 585254, 0.840850772815958, , , , , , , , , , 
4832, , , , , , , , , , , , , 4134, 596800, 0.8574392335918486, 3935, 589189, 0.8465042972532635, , , , , , , , , , 
4896, , , , , , , , , , , , , 4212, 601012, 0.8634907316680699, 3957, 593146, 0.8521894297052122, , , , , , , , , , 
4960, , , , , , , , , , , , , 4773, 605785, 0.870348234117691, 3871, 597017, 0.8577510035544649, , , , , , , , , , 
5024, , , , , , , , , , , , , 5087, 610872, 0.8776568691399459, 4035, 601052, 0.8635482007856028, , , , , , , , , , 
5088, , , , , , , , , , , , , 5097, 615969, 0.8849798714415841, 4383, 605435, 0.8698453793392775, , , , , , , , , , 
5152, , , , , , , , , , , , , 5027, 620996, 0.8922023027875395, 4866, 610301, 0.8768364974871629, , , , , , , , , , 
5216, , , , , , , , , , , , , 4274, 625270, 0.8983428779959369, 5157, 615458, 0.8842457034651005, , , , , , , , , , 
5280, , , , , , , , , , , , , 3688, 628958, 0.9036415306324763, 4993, 620451, 0.8914192860611528, , , , , , , , , , 
5344, , , , , , , , , , , , , 3365, 632323, 0.9084761201449371, 4315, 624766, 0.8976187671150215, , , , , , , , , , 
5408, , , , , , , , , , , , , 2981, 635304, 0.9127590061290813, 3812, 628578, 0.9030955740159132, , , , , , , , , , 
5472, , , , , , , , , , , , , 2881, 638185, 0.9168982193193932, 3325, 631903, 0.907872694410841, , , , , , , , , , 
5536, , , , , , , , , , , , , 2790, 640975, 0.9209066902673176, 3080, 634983, 0.9122978164608794, , , , , , , , , , 
5600, , , , , , , , , , , , , 2519, 643494, 0.9245258079439561, 2864, 637847, 0.9164126052762397, , , , , , , , , , 
5664, , , , , , , , , , , , , 2518, 646012, 0.9281434888926563, 2704, 640551, 0.9202975176214682, , , , , , , , , , 
5728, , , , , , , , , , , , , 2394, 648406, 0.9315830155770043, 2528, 643079, 0.9239295658495515, , , , , , , , , , 
5792, , , , , , , , , , , , , 2308, 650714, 0.9348989836586564, 2465, 645544, 0.9274711002175207, , , , , , , , , , 
5856, , , , , , , , , , , , , 2260, 652974, 0.938145988799269, 2402, 647946, 0.9309221207253752, , , , , , , , , , 
5920, , , , , , , , , , , , , 2252, 655226, 0.941381500116375, 2289, 650235, 0.9342107909761992, , , , , , , , , , 
5984, , , , , , , , , , , , , 2196, 657422, 0.9445365546689348, 2141, 652376, 0.9372868254921511, , , , , , , , , , 
6048, , , , 3, 3, 4.303395091834451e-06, , , , , , , 2043, 659465, 0.947471789846931, 2198, 654574, 0.9404447535005876, , , , , , , , , , 
6112, , , , 17, 20, 2.8689300612229675e-05, 8, 8, 1.147572024489187e-05, , , , 2022, 661487, 0.9503768537382224, 2174, 656748, 0.9435682000385043, , , , , , , , , , 
6176, , , , 73, 93, 0.000133405247846868, 28, 36, 5.1640741102013416e-05, , , , 1830, 663317, 0.9530060658653556, 2109, 658857, 0.94659825926043, , , , , , , , , , 
6240, , , , 232, 325, 0.0004662011349487322, 106, 142, 0.0002036940343468307, , , , 1731, 665048, 0.9554930419265947, 2008, 660865, 0.9494832089605848, , , , , , , , , , 
6304, , , , 546, 871, 0.0012494190416626023, 289, 431, 0.0006182544281935495, , , , 1565, 666613, 0.9577415211500719, 1858, 662723, 0.952152649469991, , , , , , , , , , 
6368, , , , 1160, 2031, 0.0029133984771719237, 735, 1166, 0.0016725862256929901, , , , 1541, 668154, 0.9599555189030294, 1742, 664465, 0.9546554295385518, , , , , , , , , , 
6432, , , , 2162, 4193, 0.0060147118733539515, 1410, 2576, 0.003695181918855182, , , , 1438, 669592, 0.9620215336783396, 1588, 666053, 0.9569369535046105, , , , , , , , , , 
6496, , , , 3893, 8086, 0.011599084237524458, 2591, 5167, 0.007411880813169537, , , , 1381, 670973, 0.9640056549611652, 1470, 667523, 0.959048943573947, , , , , , , , , , 
6560, , , , 5534, 13620, 0.01953741371692841, 4396, 9563, 0.013717789087737619, , , , 1321, 672294, 0.9659035725676914, 1480, 669003, 0.9611753009226667, , , , , , , , , , 
6624, , , , 7003, 20623, 0.029582972326300628, 6161, 15724, 0.02255552814133497, , , , 1261, 673555, 0.9677152864979182, 1344, 670347, 0.9631062632717743, , , , , , , , , , 
6688, , , , 8241, 28864, 0.041404398643569866, 7613, 23337, 0.033476110419380194, , , , 1196, 674751, 0.9694336131121538, 1342, 671689, 0.9650343521650053, , , , , , , , , , 
6752, , , , 8384, 37248, 0.05343095346021655, 8456, 31793, 0.0456059467182309, , , , 1186, 675937, 0.9711375724470063, 1242, 672931, 0.9668187682644039, , , , , , , , , , 
6816, , , , 7872, 45120, 0.06472306218119014, 8316, 40109, 0.057534957912796, , , , 1072, 677009, 0.9726777447968897, 1216, 674147, 0.9685658294374061, , , , , , , , , , 
6880, , , , 6881, 52001, 0.07459361605682777, 7747, 47856, 0.06864775850494316, , , , 1013, 678022, 0.9741331501984122, 1150, 675297, 0.9702180665664788, , , , , , , , , , 
6944, , , , 5662, 57663, 0.08271555706014999, 6499, 54355, 0.0779703467388872, , , , 923, 678945, 0.9754592500854853, 1115, 676412, 0.9718200182177102, , , , , , , , , , 
7008, , , , 4420, 62083, 0.08905589249545275, 5137, 59492, 0.0853391936011384, , , , 873, 679818, 0.9767135135756423, 987, 677399, 0.9732380686928361, , , , , , , , , , 
7072, , , , 3369, 65452, 0.09388860518358283, 4032, 63524, 0.09112295660456389, , , , 840, 680658, 0.9779203650438346, 969, 678368, 0.9746302580650723, , , , , , , , , , 
7136, , , , 2382, 67834, 0.09730550088649939, 2970, 66494, 0.09538331774548, , , , 771, 681429, 0.9790280822842825, 856, 679224, 0.9758600971802778, , , , , , , , , , 
7200, , , , 1695, 69529, 0.09973691911338585, 2064, 68558, 0.0983440535686621, , , , 734, 682163, 0.9800826405910124, 833, 680057, 0.9770568915529018, , , , , , , , , , 
7264, , , , 1263, 70792, 0.10154864844704815, 1493, 70051, 0.10048570985936504, , , , 720, 682883, 0.9811170847066057, 818, 680875, 0.9782321350064509, , , , , , , , , , 
7328, , , , 1023, 71815, 0.10301610617336371, 1140, 71191, 0.10212099999426213, , , , 661, 683544, 0.982066761873838, 763, 681638, 0.9793283584233923, , , , , , , , , , 
7392, , , , 883, 72698, 0.10428273879539364, 946, 72137, 0.10347800391322061, , , , 629, 684173, 0.9829704637470439, 716, 682354, 0.9803570556272323, , , , , , , , , , 
7456, , , , 822, 73520, 0.10546186905055628, 832, 72969, 0.10467147881868936, , , , 617, 684790, 0.9838569248849899, 698, 683052, 0.9813598917281826, , , , , , , , , , 
